ID,Author,Verses
85,The Monk Shun'e,"['Through an unsleeping night', 'Longingly I pass the hours,', ""While the day's dawn lags."", 'And now the bedroom shutters', 'Are keeping light and life from me.']"
86,The Monk Saigyo,"['Should I blame the moon', 'For bringing forth this sadness,', 'As if it pictured grief?', 'Lifting up my troubled face,', 'I regard it through my tears.']"
87,The Monk Jakuren,"['An autumn eve:', 'See the valley mists arise', 'Among the fir leaves', 'That still hold the dripping wet', ""Of the chill day's sudden showers.""]"
88,Attendant to Empress Koka,"['After one brief night--', 'Short as a piece of the reeds', 'Growing in Naniwa bay--', 'Must I forever long for him', 'With my whole heart, till life ends?']"
89,Princess Shokushi,"['Like a string of gems', 'Grown weak, my life will break now;', 'For if I live on,', 'All I do to hide my love', 'May at last grow weak and fail.']"
90,Attendant to Empress Inpu,"['Let me show him these!', ""Even the fishermen's sleeves"", ""On Ojima's shores,"", 'Though wet through and wet again,', 'Do not so change their colors.']"
91,Fujiwara no Yoshitsune,"['In my cold bed,', 'Drawing close my folded quilt,', 'I sleep alone,', 'While all through the frosty night', ""I hear a cricket's lonely sound.""]"
92,Lady Sanuki,"['Like a rock at sea,', 'At ebb-tide hidden from view,', 'Is my tear-drenched sleeve:', 'Never for a moment dry,', 'And no one knows it is there.']"
93,Minamoto no Sanetomo,"['If only our world', 'Could be always as it is!', 'How moving the sight', 'Of the little fishing boat', 'Drawn by ropes along the bank.']"
94,Fujiwara no Masatsune,"['From Mount Yoshino', 'Blows a chill, autumnal wind.', 'In the deepening night', 'The ancient village shivers:', 'Sounds of beating cloth I hear.']"
95,Abbot Jien,"['From the monastery', 'On Mount Hiei I look out', 'On this world of tears,', 'And though I am unworthy,', 'I shield it with my black sleeves.']"
96,Fujiwara no Kintsune,"['Not the snow of flowers,', 'That the hurrying wild wind whirls', 'Round the garden court:', 'What withers and falls away', 'In this place is I myself.']"
97,"Fujiwara no Sadaie, Fujiwara no Teika","['Like the salt sea-weed,', 'Burning in the evening calm.', ""On Matsuo's shore,"", 'All my being is aflame,', 'Awaiting her who does not come.']"
98,Fujiwara no Ietaka,"[""To Nara's brook comes"", 'Evening, and the rustling winds', ""Stir the oak-trees' leaves."", 'Not a sign of summer left', 'But the sacred bathing there.']"
99,Emperor Gotoba,"['For some men I grieve;', 'Some men are hateful to me;', 'And this wretched world', 'To me, with all my sadness,', 'Is a place of misery.']"
100,Emperor Juntoku,"['In this ancient house,', 'Paved with a hundred stones,', 'Ferns grow in the eaves;', 'But numerous as they are,', 'My old memories are more.']"
